lng,lat
76.68,12.12
74.629997,24.879999
73.300003,16.994444
72.849998,19.155001
73.055,24.7945
81.629997,21.25
74.833298,16.1667
80.949997,26.85
77.230003,28.610001
72.877426,19.07609
75.040298,14.16704
88.719391,26.540457
87.849251,24.633568
74.493011,28.440554
72.858894,24.882618
74.556374,16.779877
77.281296,12.715035
77.727478,13.432515
77.208946,12.651805
71.637077,22.728392
76.574059,9.383452
75.621788,14.623801
79.838005,10.92544
74.498703,15.852792
84.986732,19.354979
87.52462,23.905445
85.824539,20.296059
71.771645,21.105001
77.299492,30.172716
85.709091,25.477585
75.801094,21.045521
89.5271,26.49189
76.614143,8.893212
87.321487,22.430889
72.126625,23.849325
77.800781,11.786253
76.540154,13.583274
75.801094,14.530457
73.176132,18.901457
88.567406,22.96051
76.192696,15.756595
86.352882,22.656015
79.450035,25.989836
82.87056,23.223047
73.191948,19.186354
75.890121,30.525005
85.760651,22.422455
83.395554,18.106659
81.28492,21.190449
72.969818,23.597969
78.571762,28.590361
85.53006,25.369179
92.726486,11.623377
88.024338,24.618393
74.43383,23.546757
41.6399,41.643414
87.900375,25.077787
77.888,29.854263
79.992981,14.913181
77.712616,14.413745
78.852074,18.101904
81.565125,23.173939
80.355377,15.812074
79.259491,15.764501
76.331978,10.311879
70.792297,21.961946
81.52124,16.544893
76.532028,21.04954
91.754723,26.182245
77.384117,27.897551
76.505356,18.245655
75.659157,23.486839
75.405334,32.041943
85.688744,24.47438
87.287018,23.427221
75.380768,19.487707
74.000633,19.85306
77.373627,15.167409
88.250343,24.417534
77.736969,22.744108
78.552757,14.752805
87.311897,23.520399
73.323685,25.771315
77.332024,28.148735
76.693245,29.138407
86.474373,25.37571
78.120407,20.388794
86.151115,23.669296
70.627625,21.761524
88.86718,22.657402
88.319069,22.700474
85.309563,23.344101
79.850388,14.146319
80.471588,28.078636
78.584602,27.108416
77.986565,9.823619
79.959244,12.946366
79.623924,17.143908
74.742142,13.340881
78.483093,15.478569
