lng,lat
77.199997,28.549999
76.683334,11.416667
77.01281,20.67321
75.198494,19.511562
82.397972,26.407057
77.018883,10.638598
77.554115,29.957846
72.546074,23.003992
78.682419,10.830512
76.722153,30.678722
88.310837,22.49814
88.445572,22.441265
88.461838,22.58959
86.26609,20.228069
77.120918,28.641529
74.843208,31.632898
73.80777,20.046701
78.391487,17.448294
82.9515,25.27994
86.968666,23.690611
73.751312,20.00647
73.126846,19.228762
77.622826,13.003168
80.260918,13.073226
77.758698,8.707375
79.082954,13.201411
83.360237,26.791519
73.799309,20.015768
80.813599,25.926411
78.490036,17.373093
80.215652,13.010236
81.78791,25.430883
81.335884,21.229767
86.598106,25.892298
73.792992,20.007357
78.466377,17.444708
80.246109,12.965365
77.615112,34.209515
74.145874,16.64012
77.065971,28.610722
77.302284,28.652946
79.423973,28.352783
86.423401,23.67128
79.431709,23.820818
72.53373,23.052553
77.315094,28.683903
76.302765,10.073232
80.241425,13.030105
73.847466,18.530823
73.745491,18.627598
88.431686,22.647051
78.485641,15.48872
75.549385,20.996546
76.007957,18.287081
75.006721,20.46493
77.557175,9.448815
72.632401,23.050339
72.867119,19.035288
76.773361,20.672806
86.227402,22.778872
86.232056,22.804174
77.194405,28.661369
79.010757,20.251728
77.280106,28.525377
78.445824,17.443649
77.039597,28.460596
74.426918,20.25153
77.736801,20.859764
77.24411,28.569271
74.843407,12.872114
77.687592,13.004725
77.414452,23.255404
84.586693,22.19161
77.121765,28.550421
76.966331,11.020983
79.567047,18.001408
77.5383,13.01039
75.545647,26.814882
76.311935,9.99848
77.261353,28.718573
74.765587,34.078667
77.278618,28.627949
76.960968,11.022312
80.342735,26.437588
77.464462,12.921371
81.832695,25.459085
72.997627,21.617355
77.020401,28.473103
77.076584,28.451317
73.330353,25.781073
81.851311,25.432571
77.239075,28.520741
85.814705,20.2379
88.394936,22.500914
73.314865,28.03751
81.819588,25.428574
77.608192,12.880505
72.862427,19.393345
77.729385,20.895115
72.628151,23.036144
77.561226,12.947931
77.300537,28.758314
74.998726,20.474583
75.125221,15.322364
77.495476,13.052682
77.677849,12.975676
83.376266,26.751213
75.540405,26.823713
80.677032,27.580564
80.67569,27.583118
82.692894,25.732555
78.500069,17.461426
77.028557,28.613279
74.895561,31.637186
74.929649,31.665501
78.569504,17.371473
78.538376,17.39193
75.649536,20.301481
77.676392,11.317164
81.253258,26.20746
72.900902,21.230005
75.769188,26.849684
85.842865,20.401421
73.694824,24.646944
78.521362,17.4366
77.907822,21.902008
78.402428,27.156118
77.713768,12.973864
86.304192,24.194187
72.889999,19.059984
85.810219,20.289898
73.149727,22.270041
85.868217,20.202372
75.886803,30.845461
85.803818,20.344744
78.123848,11.634618
78.484215,17.630222
85.892578,26.130026
77.319305,19.174959
77.425415,28.66177
79.948296,23.196329
73.861244,18.517454
86.480019,25.513687
75.303101,17.689329
79.125618,21.128143
88.399818,22.45153
73.508148,20.264774
72.572174,23.080135
88.360992,22.835373
78.831718,29.280394
78.094429,9.907271
78.514259,26.90366
72.883438,19.062054
78.858414,11.235264
76.151489,15.346634
77.680321,29.692122
78.32785,25.883467
77.325348,28.341639
81.040222,26.879129
72.900063,21.221901
75.110558,15.349241
79.094162,21.155722
76.991592,10.997455
77.301826,28.503962
75.117004,15.345651
88.374535,22.700346
77.979477,16.74412
76.295883,29.338751
77.002983,11.076375
77.71373,8.704419
73.912239,18.566526
77.284348,9.742051
81.496544,21.103676
83.114456,17.696905
78.428604,17.39213
72.653595,23.068586
77.622826,12.94524
82.719879,25.763325
81.971207,26.299276
77.293312,28.559238
72.635262,23.792542
77.644119,13.025689
77.644302,13.025402
